model,context_source,accuracy_mean,accuracy_mean_delta_vs_stage2,roc_auc_mean,roc_auc_mean_delta_vs_stage2,f1_mean,f1_mean_delta_vs_stage2,brier_score_mean,brier_score_mean_delta_vs_stage2,predicted_positive_rate_mean,correction_count,regression_count,net_correction,note
Stage2 frozen baseline,visual-only ohlc_ma_vb,0.57932,0.0,0.584862,0.0,0.651071,0.0,0.274337,0.0,0.6644,,,,Reference baseline for all N8/N12 comparisons.
N8-B F&G-only bounded FiLM s0.02,F&G-only external crypto regime,0.580291,0.000972,0.58493,6.8e-05,0.650814,-0.000257,0.274004,-0.000333,0.660652,,,,Best compact numeric context; s0.02 is the best accuracy candidate.
N8-B F&G-only bounded FiLM s0.05,F&G-only external crypto regime,0.57932,0.0,0.584921,5.9e-05,0.648829,-0.002242,0.273838,-0.000499,0.656627,,,,Stronger scale lowers F1/predicted-Up slightly.
N9 grid news SVD32 s0.02,headline news TF-IDF/SVD,0.579736,0.000416,0.585353,0.000491,0.649307,-0.001764,0.273765,-0.000572,0.657321,27,24,3,"Selected N10 interpretability candidate: best accuracy among news rows, small net correction gain."
N9 grid news SVD8 s0.05,headline news TF-IDF/SVD,0.578626,-0.000694,0.586619,0.001757,0.64298,-0.008092,0.272327,-0.00201,0.639001,,,,"Best ROC-AUC/calibration news row, but accuracy/F1 decline and predicted-Up rate shifts down."
N9-A news SVD8 s0.02,headline news TF-IDF/SVD,0.579459,0.000139,0.58567,0.000808,0.647509,-0.003562,0.273367,-0.00097,0.65177,,,,Conservative news-only bounded FiLM; useful diagnostic but not final accuracy gain.
n12a_uncertainty_gated_news_film s0.02,headline news TF-IDF/SVD with uncertainty gate,0.579042,-0.000278,0.58511,0.000248,0.648711,-0.00236,0.274057,-0.000279,0.657183,,,,Gated news diagnostic; does not materially beat Stage2.
n12a_uncertainty_gated_news_film s0.05,headline news TF-IDF/SVD with uncertainty gate,0.578626,-0.000694,0.585456,0.000594,0.646238,-0.004833,0.273737,-0.0006,0.649827,,,,Gated news diagnostic; does not materially beat Stage2.
n12b_confidence_gated_news_film s0.02,headline news TF-IDF/SVD with confidence gate,0.57932,0.0,0.584921,5.9e-05,0.651071,0.0,0.274247,-9e-05,0.6644,,,,Gated news diagnostic; does not materially beat Stage2.
n12b_confidence_gated_news_film s0.05,headline news TF-IDF/SVD with confidence gate,0.57932,0.0,0.585067,0.000206,0.651071,0.0,0.274125,-0.000212,0.6644,,,,Gated news diagnostic; does not materially beat Stage2.
N12-C technical-only bounded FiLM s0.02,BB60/MFI60/RV60 chart-derived technical context,0.579736,0.000416,0.584778,-8.4e-05,0.650834,-0.000237,0.274218,-0.000119,0.662318,,,,Effectively tied with Stage2; supports redundancy with ohlc_ma_vb chart information.
N12-C technical-only bounded FiLM s0.05,BB60/MFI60/RV60 chart-derived technical context,0.57932,0.0,0.584684,-0.000178,0.64992,-0.001151,0.274068,-0.000268,0.660236,,,,Effectively tied with Stage2; supports redundancy with ohlc_ma_vb chart information.
