comparison_group,model,context_source,protocol,status,source_file,note,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,f1_mean,brier_score_mean,predicted_positive_rate_mean,long_flat_sharpe_net_mean,long_short_sharpe_net_mean,modulation_scale,svd_dim,seed_count,num_trainable_parameters_mean,num_frozen_parameters_mean,accuracy_mean_delta_vs_stage2,roc_auc_mean_delta_vs_stage2,f1_mean_delta_vs_stage2,brier_score_mean_delta_vs_stage2,predicted_positive_rate_mean_delta_vs_stage2,long_flat_sharpe_net_mean_delta_vs_stage2,long_short_sharpe_net_mean_delta_vs_stage2,correction_count,regression_count,net_correction,correction_source,accuracy_rank,roc_auc_rank,brier_rank
main,Stage2 frozen baseline,visual-only ohlc_ma_vb,"Stage2 I60/R20 checkpoint reload, no context",completed,/Users/jaehyeonjeong/Desktop/논문/Thesis/stage4_film_conditioning/reports/tables/stage4_n10_metric_comparison.csv,Reference baseline for all N8/N12 comparisons.,0.5793199167244969,0.0182183337383599,0.5848619030994221,0.0232503983423101,0.6510711809366792,0.2743367621571529,0.6643997224149896,3.4423121472519123,2.407759221482054,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,5.0,10.0,12.0
main,N8-B F&G-only bounded FiLM s0.02,F&G-only external crypto regime,"Stage2 CNN/classifier frozen, bounded last-block FiLM",completed,/Users/jaehyeonjeong/Desktop/논문/Thesis/stage4_film_conditioning/reports/tables/stage4_n8b_fg_only_pretrained_frozen_bounded_film_mean_std_results.csv,Best compact numeric context; s0.02 is the best accuracy candidate.,0.5802914642609299,0.0179721556979971,0.5849295938554637,0.0231089457506323,0.6508144715377929,0.2740042133344558,0.6606523247744622,3.444514918960821,2.3933701589521745,0.02,,5.0,35008.0,2952962.0,0.0009715475364330262,6.769075604162733e-05,-0.00025670939888622346,-0.0003325488226971207,-0.003747397640527339,0.002202771708908813,-0.014389062529879482,,,,,1.0,7.0,6.0
main,N8-B F&G-only bounded FiLM s0.05,F&G-only external crypto regime,"Stage2 CNN/classifier frozen, bounded last-block FiLM",completed,/Users/jaehyeonjeong/Desktop/논문/Thesis/stage4_film_conditioning/reports/tables/stage4_n8b_fg_only_pretrained_frozen_bounded_film_mean_std_results.csv,Stronger scale lowers F1/predicted-Up slightly.,0.5793199167244969,0.0170013737478044,0.584921059777338,0.022943164319498,0.6488287360875884,0.2738376188514321,0.6566273421235254,3.421978427400054,2.3342271249728066,0.05,,5.0,35008.0,2952962.0,0.0,5.915667791589474e-05,-0.0022424448490907523,-0.0004991433057208172,-0.007772380291464209,-0.020333719851858056,-0.07353209650924741,,,,,5.0,9.0,5.0
main,N9 grid news SVD32 s0.02,headline news TF-IDF/SVD,"Stage2 CNN/classifier frozen, bounded last-block FiLM",completed,/Users/jaehyeonjeong/Desktop/논문/Thesis/stage4_film_conditioning/reports/tables/stage4_n10_metric_comparison.csv,"Selected N10 interpretability candidate: best accuracy among news rows, small net correction gain.",0.5797362942401112,0.0168819845935637,0.5853526125916444,0.0232644068383443,0.6493071728594003,0.2737645481156019,0.657321304649549,3.4457130455675498,2.379196604257179,,,,,,0.0004163775156142968,0.0004907094922222965,-0.0017640080772788336,-0.0005722140415510002,-0.007078417765440603,0.0034008983156375017,-0.028562617224875186,27,24,3,/Users/jaehyeonjeong/Desktop/논문/N10_analysis/reports/tables/stage4_n10_stage2_vs_n10_correction_analysis_seed_summary.csv,2.0,4.0,4.0
main,N9 grid news SVD8 s0.05,headline news TF-IDF/SVD,"Stage2 CNN/classifier frozen, bounded last-block FiLM",completed,/Users/jaehyeonjeong/Desktop/논문/Thesis/stage4_film_conditioning/reports/tables/stage4_n10_metric_comparison.csv,"Best ROC-AUC/calibration news row, but accuracy/F1 decline and predicted-Up rate shifts down.",0.5786259541984733,0.0166724406611466,0.5866189534116917,0.0227801194555697,0.642979511004582,0.2723265818776449,0.6390006939625261,3.442392721111864,2.3015200741820854,,,,,,-0.000693962526023606,0.0017570503122695813,-0.0080916699320972,-0.0020101802795080004,-0.025399028452463446,8.057385995163813e-05,-0.10623914729996864,,,,,11.0,1.0,1.0
main,N9-A news SVD8 s0.02,headline news TF-IDF/SVD,"Stage2 CNN/classifier frozen, bounded last-block FiLM",completed,/Users/jaehyeonjeong/Desktop/논문/Thesis/stage4_film_conditioning/reports/tables/stage4_n10_metric_comparison.csv,Conservative news-only bounded FiLM; useful diagnostic but not final accuracy gain.,0.5794587092297017,0.0183801840918099,0.5856697311765391,0.0230734373951102,0.6475086880015665,0.2733671140529689,0.6517696044413601,3.4305263887117574,2.336906474984788,,,,,,0.0001387925052047656,0.0008078280771169899,-0.003562492935112682,-0.0009696481041840399,-0.012630117973629451,-0.011785758540154845,-0.07085274649726614,,,,,4.0,2.0,2.0
diagnostic,n12a_uncertainty_gated_news_film s0.02,headline news TF-IDF/SVD with uncertainty gate,"Stage2 CNN/classifier frozen, gated bounded last-block FiLM",completed,/Users/jaehyeonjeong/Desktop/논문/Thesis/stage4_film_conditioning/reports/tables/stage4_n12a_uncertainty_gated_news_film_mean_std_results.csv,Gated news diagnostic; does not materially beat Stage2.,0.5790423317140874,0.0176558578133423,0.5851099732340277,0.0234073178483205,0.648710801330709,0.274057360738357,0.6571825121443442,3.437834789577926,2.369980664959387,0.02,32.0,5.0,38144.0,2952962.0,-0.0002775850104095312,0.0002480701346055936,-0.002360379605970131,-0.0002794014187958993,-0.007217210270645369,-0.004477357673986049,-0.03777855652266693,,,,,10.0,5.0,7.0
diagnostic,n12a_uncertainty_gated_news_film s0.05,headline news TF-IDF/SVD with uncertainty gate,"Stage2 CNN/classifier frozen, gated bounded last-block FiLM",completed,/Users/jaehyeonjeong/Desktop/논문/Thesis/stage4_film_conditioning/reports/tables/stage4_n12a_uncertainty_gated_news_film_mean_std_results.csv,Gated news diagnostic; does not materially beat Stage2.,0.5786259541984733,0.0176340233850622,0.5854556033981148,0.0235698331866694,0.6462382682568195,0.2737365219501687,0.6498265093684942,3.4220071825893017,2.3091954920773383,0.05,32.0,5.0,38144.0,2952962.0,-0.000693962526023606,0.0005937002986926565,-0.004832912679859636,-0.0006002402069842372,-0.014573213046495392,-0.02030496466261056,-0.0985637294047157,,,,,11.0,3.0,3.0
diagnostic,n12b_confidence_gated_news_film s0.02,headline news TF-IDF/SVD with confidence gate,"Stage2 CNN/classifier frozen, gated bounded last-block FiLM",completed,/Users/jaehyeonjeong/Desktop/논문/Thesis/stage4_film_conditioning/reports/tables/stage4_n12b_confidence_gated_news_film_mean_std_results.csv,Gated news diagnostic; does not materially beat Stage2.,0.5793199167244969,0.0182183337383599,0.5849210597773381,0.0232806922495556,0.6510711809366792,0.274246840166426,0.6643997224149896,3.4423121472519123,2.407759221482054,0.02,32.0,5.0,38144.0,2952962.0,0.0,5.915667791600576e-05,0.0,-8.992199072693774e-05,0.0,0.0,0.0,,,,,5.0,8.0,11.0
diagnostic,n12b_confidence_gated_news_film s0.05,headline news TF-IDF/SVD with confidence gate,"Stage2 CNN/classifier frozen, gated bounded last-block FiLM",completed,/Users/jaehyeonjeong/Desktop/논문/Thesis/stage4_film_conditioning/reports/tables/stage4_n12b_confidence_gated_news_film_mean_std_results.csv,Gated news diagnostic; does not materially beat Stage2.,0.5793199167244969,0.0182183337383599,0.5850674967997207,0.0233197854329915,0.6510711809366792,0.2741246085760797,0.6643997224149896,3.4423121472519123,2.407759221482054,0.05,32.0,5.0,38144.0,2952962.0,0.0,0.0002055937002986008,0.0,-0.00021215358107323778,0.0,0.0,0.0,,,,,5.0,6.0,9.0
